"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 28 15:41:20 IST 2023","Sun May 28 15:41:21 IST 2023","549","","Topic16_TestSuite","","","","Topic16_TestCase_2",""
"passed","Sun May 28 15:41:44 IST 2023","Sun May 28 15:41:44 IST 2023","194","","Topic20_Suite","","","","Topic20_TestCase-GET API",""
"passed","Sun May 28 15:41:17 IST 2023","Sun May 28 15:41:20 IST 2023","3459","","Topic16_TestSuite","","","","Topic16_TestCase",""
"passed","Sun May 28 15:41:37 IST 2023","Sun May 28 15:41:38 IST 2023","925","","Topic02_TestSuite","","","","cy.clearCookies() - clear browser cookies",""
"passed","Sun May 28 15:41:40 IST 2023","Sun May 28 15:41:41 IST 2023","1094","","Topic04_Suite","","","","Topic04_TestCase",""
"passed","Sun May 28 15:41:36 IST 2023","Sun May 28 15:41:37 IST 2023","811","","Topic02_TestSuite","","","","cy.clearCookie() - clear a browser cookie",""
"failed","Sun May 28 15:41:07 IST 2023","Sun May 28 15:41:08 IST 2023","583","","Topic06_Suite","","","","Topic06_TestCase",""
"passed","Sun May 28 15:41:35 IST 2023","Sun May 28 15:41:36 IST 2023","504","","Topic02_TestSuite","","","","cy.setCookie() - set a browser cookie",""
"passed","Sun May 28 15:41:45 IST 2023","Sun May 28 15:41:45 IST 2023","355","","Topic20_Suite","","","","Topic20_TestCase-POST_API_Method2",""
"passed","Sun May 28 15:41:46 IST 2023","Sun May 28 15:41:46 IST 2023","355","","Topic20_Suite","","","","Topic20_TestCase-POST_API_UsingExternalPayloadDataFile",""
"failed","Sun May 28 15:41:20 IST 2023","Sun May 28 15:41:25 IST 2023","4163","","Topic01_Suite","","","","Topic01_Testcase",""
"passed","Sun May 28 15:41:48 IST 2023","Sun May 28 15:41:49 IST 2023","357","","Topic21_Suite","","","","Topic21-Delete API",""
"passed","Sun May 28 15:41:16 IST 2023","Sun May 28 15:41:41 IST 2023","25449","","Topic15_TestSuite","","","","Topic15_TestCase",""
"passed","Sun May 28 15:41:44 IST 2023","Sun May 28 15:41:45 IST 2023","418","","Topic20_Suite","","","","Topic20_TestCase-POST_API_Method1",""
"passed","Sun May 28 15:41:09 IST 2023","Sun May 28 15:41:15 IST 2023","6262","","Topic08-Suite","","","","Topic08-TestCase_Method2",""
"failed","Sun May 28 15:41:41 IST 2023","Sun May 28 15:41:41 IST 2023","416","","Topic03_TestSuite","","","","Topic03_TestCase",""
"passed","Sun May 28 15:41:18 IST 2023","Sun May 28 15:41:25 IST 2023","7008","","Topic05_Suite","","","","Topic05_TestCase",""
"passed","Sun May 28 15:41:35 IST 2023","Sun May 28 15:41:35 IST 2023","485","","Topic02_TestSuite","","","","cy.getCookies() - get browser cookies",""
"passed","Sun May 28 15:41:45 IST 2023","Sun May 28 15:41:45 IST 2023","363","","Topic20_Suite","","","","Topic20_TestCase-PUTAPI_Method1",""
"passed","Sun May 28 15:41:45 IST 2023","Sun May 28 15:41:46 IST 2023","344","","Topic20_Suite","","","","Topic20_TestCase-PUT_API_Method2",""
"passed","Sun May 28 15:40:59 IST 2023","Sun May 28 15:41:05 IST 2023","5739","","Topic07_Suite","","","","Topic07_TestCase",""
"passed","Sun May 28 15:41:48 IST 2023","Sun May 28 15:41:48 IST 2023","104","","Topic21_Suite","","","","Topic21-GET API",""
"skipped","Sun May 28 15:41:40 IST 2023","Sun May 28 15:41:40 IST 2023","9","","Topic_10_11_TestSuite","","","","Using_normal_UI_InteractionLevel",""
"passed","Sun May 28 15:41:09 IST 2023","Sun May 28 15:41:09 IST 2023","3","","Topic08-Suite","","","","Topic08-TestCase_Method1",""
"passed","Sun May 28 15:41:30 IST 2023","Sun May 28 15:41:37 IST 2023","6870","","Topic14_Suite","","","","Topic14_Testcase",""
"passed","Sun May 28 15:41:46 IST 2023","Sun May 28 15:41:46 IST 2023","340","","Topic20_Suite","","","","Topic20_TestCase-DELETE API",""
"passed","Sun May 28 15:41:34 IST 2023","Sun May 28 15:41:35 IST 2023","1201","","Topic02_TestSuite","","","","cy.getCookie() - get a browser cookie",""
"failed","Sun May 28 15:41:45 IST 2023","Sun May 28 15:41:45 IST 2023","256","","Topic22_TestSuite","","","","BlazeDemo_ClientSide_UI_PerformanceTesting",""
"broken","Sun May 28 15:41:40 IST 2023","Sun May 28 15:41:41 IST 2023","1112","","Topic_10_11_TestSuite","","","","Using_AppActions_NoUIInteraction",""
